"window_size","model_rsq","baseline_volatility","n_datapoints","zone_2pct_width","zone_2pct_coverage","zone_1pct_width","zone_1pct_coverage","zone_0pct_width","zone_0pct_coverage"
3,4.34431678809583e-08,1.23018644620804,1000000,NA,NA,NA,NA,NA,NA
5,5.6222485121446e-06,1.16897456274768,1002000,NA,NA,NA,NA,1.60924154554331,0.242954390394957
10,0.0001425122343376,1.12338126344233,1007000,NA,NA,0.517220771067178,0.0780871320916654,2.17348953234972,0.328141431486325
15,0.000654891419448113,1.10439384950994,1012000,NA,NA,1.18110288377472,0.178316382593971,1.9549289110754,0.295144357396917
20,0.00174660115554914,1.09372148607466,1017000,NA,NA,1.30300970098217,0.196721199783565,1.83817439959984,0.277517406837529
25,0.00351419475948428,1.08593226183967,1022000,NA,NA,1.33764288805858,0.201949926867381,1.75638327040735,0.265169034408474
30,0.00594743917578788,1.08001598062792,1027000,NA,NA,1.33131441550131,0.200994489073384,1.68013041956279,0.253656800620996
40,0.012632988907354,1.07297499307786,1037000,0.331220885654318,0.0500058978610661,1.30745086442494,0.197391702083156,1.58637371550226,0.239501931860896
50,0.0210657270990394,1.06958884522743,1047000,0.47628227265452,0.0719064639669345,1.24298056522033,0.187658332791756,1.48693002194582,0.224488472872381
75,0.0436562780742472,1.06567895500399,1072000,0.319076857741091,0.0481724596759978,1.06165572666581,0.160282911285593,1.28210882837784,0.193565701607191
100,0.0620653811358024,1.06392431893601,1097000,NA,NA,0.857702961011458,0.129491250464911,1.08951457209564,0.164488885725697
